(481, 0.3426425263874657)
(1301, 0.3378855060889076)
(209, 0.3377269387456222)
(1542, 0.33534842859634284)
(1476, 0.33522157472171465)
(1276, 0.33281135110377846)
(900, 0.3327207411933295)
(1199, 0.3302742736112138)
(27, 0.32911673200523134)
(1154, 0.3276103422440211)
(1706, 0.32737269716070777)
(421, 0.3264686573723672)
(765, 0.32392025364099664)
(1456, 0.3203162444528979)
(1774, 0.3201259636409556)
(1353, 0.31999931569794215)
(35, 0.31996739629767046)
(198, 0.3190477057066159)
(963, 0.3189727465988806)
(86, 0.3174189925663)
(887, 0.31728328363224145)
(783, 0.31621463583991877)
(1520, 0.3139601334847473)
(748, 0.3138625535811872)
(1385, 0.30981908632741256)
(632, 0.3087091149244153)
(327, 0.3075991435214185)
(1498, 0.3063262802112283)
(930, 0.3050779227631824)
(1189, 0.30466564767064075)
(1253, 0.30347639259600123)
(1133, 0.3023664211930041)
(907, 0.29982934370043957)
(1158, 0.2997863039929766)
(1543, 0.29956506479496436)
(107, 0.29840223761087226)
(554, 0.2972922662078752)
(1107, 0.29713369886459007)
(1862, 0.29589687358696454)
(368, 0.2948921332390574)
(1705, 0.29486618585561025)
(1580, 0.2936135038436567)
(225, 0.29348664996902835)
(687, 0.29324447439019263)
(766, 0.2922181112227462)
(318, 0.2910764263510922)
(605, 0.2910764263510922)
(263, 0.29102885614810653)
(1751, 0.29090200227347796)
(680, 0.2898578973053846)
(1297, 0.2897493396626738)
(523, 0.28952246638689644)
(990, 0.2894167548247061)
(562, 0.28868802268381344)
(717, 0.2882741089388501)
(1129, 0.28825392764061414)
(1790, 0.28722323990925996)
(388, 0.2872232399092598)
(279, 0.285949415584868)
(1249, 0.28592827327243003)
(511, 0.2847337326196808)
(665, 0.2847044586486128)
(134, 0.28222892302704344)
(1458, 0.2794534400882808)
(764, 0.2784227523569265)
(33, 0.27810561767035613)
(1024, 0.27691636259571645)
(241, 0.27435766228361297)
(1576, 0.2742154321817573)
(1213, 0.2734014531528925)
(1332, 0.2732030406823203)
(1413, 0.2731900300285123)
(1091, 0.2717629239389446)
(1414, 0.26949973549387307)
(439, 0.2682311967475908)
(1149, 0.2678780240284554)
(16, 0.266847336297101)
(116, 0.26668876895381577)
(648, 0.26565808122246143)
(895, 0.2656455627479916)
(492, 0.2654942283010666)
(18, 0.26450053961647874)
(546, 0.2631215581611668)
(1052, 0.26303018788783344)
(704, 0.26068150614089264)
(1849, 0.2592361038194075)
(848, 0.2580468487447677)
(1003, 0.25688024614774047)
(1593, 0.25546220104921785)
(1768, 0.2551662086750851)
(499, 0.25306254858750044)
(1218, 0.2526819869636157)
(540, 0.2507436899626001)
(1007, 0.25053848174874366)
(1411, 0.2505375524163292)
(679, 0.2505148999387169)
(857, 0.24930069545691716)
(144, 0.24909232434467185)
(1103, 0.2490032245993973)
(1575, 0.24899718393870063)
(869, 0.2449423904461199)
(1287, 0.24430434566004341)
(351, 0.24385507152073504)
(1302, 0.2402080226251737)
(1771, 0.24012345337542165)
(310, 0.24004945528188842)
(1557, 0.23690384634781617)
(1590, 0.2366945916657369)
(1462, 0.23647015788754883)
(1289, 0.23511084026128778)
(1733, 0.23411814955298657)
(1620, 0.23402918181515722)
(3, 0.23386532889376244)
(776, 0.2325492199444944)
(247, 0.23033888728051835)
(1065, 0.23018656652954383)
(346, 0.2300597126549154)
(1617, 0.22996910274446694)
(1708, 0.22994439095070818)
(125, 0.22990114531163033)
(1242, 0.22902902492356117)
(1050, 0.22857975078425294)
(1019, 0.22739578128772284)
(422, 0.22644437722801103)
(1457, 0.2262223829474119)
(147, 0.22392315646977518)
(1074, 0.2235354242014623)
(518, 0.2234959856571065)
(226, 0.22263876098916435)
(1015, 0.22260272295659958)
(980, 0.22257681253523756)
(373, 0.22235787026677323)
(127, 0.2222899128339368)
(909, 0.2204034789180275)
(1506, 0.22007958016996013)
(672, 0.21975283534137235)
(458, 0.21864286393837531)
(1082, 0.21741564880276737)
(498, 0.2161187970996188)
(61, 0.2159789325711825)
(354, 0.21521086552472027)
(1400, 0.21483724769952853)
(779, 0.2146786803562432)
(281, 0.21368952216717785)
(1329, 0.21230017020696404)
(1726, 0.21227374231641655)
(24, 0.21211895038606637)
(386, 0.210757742413189)
(957, 0.20976309271439939)
(1142, 0.20857912321786937)
(496, 0.20738986814322982)
(1603, 0.20730529889347749)
(1428, 0.2059574764755528)
(136, 0.20574001269047582)
(278, 0.20482107718200818)
(1645, 0.20379401680818013)
(287, 0.20314650993549546)
(1025, 0.20226718194091345)
(1136, 0.2021518602367059)
(1389, 0.20202500636207776)
(32, 0.19991132426924613)
(1507, 0.19969406641578413)
(1148, 0.19935050383866593)
(1797, 0.19835925465166707)
(826, 0.19724684375108112)
(1095, 0.1971569889232195)
(1513, 0.19619800235584994)
(1601, 0.19479433550826886)
(682, 0.1936340710287146)
(296, 0.1935801627082559)
(7, 0.19098871926942207)
(603, 0.1908988644415603)
(1169, 0.1906081576455374)
(1826, 0.18848239423131294)
